date,price
2019-01-01,3692.53
2019-01-02,3794.26
2019-01-03,3872.17
2019-01-04,3776.53
2019-01-05,3815.27
2019-01-06,3787.31
2019-01-07,4013.52
2019-01-08,3989.67
2019-01-09,3973.59
2019-01-10,3982.23
2019-01-11,3623.85
2019-01-12,3632.85
2019-01-13,3598.44
2019-01-14,3495.83
2019-01-15,3648.05
2019-01-16,3567.8
2019-01-17,3597.65
2019-01-18,3620.98
2019-01-19,3597.79
2019-01-20,3674.59
2019-01-21,3539.17
2019-01-22,3531.0
2019-01-23,3571.27
2019-01-24,3555.7
2019-01-25,3565.64
2019-01-26,3564.82
2019-01-27,3563.61
2019-01-28,3553.12
2019-01-29,3432.22
2019-01-30,3413.38
2019-01-31,3457.88
2019-02-01,3431.94
2019-02-02,3464.49
2019-02-03,3486.58
2019-02-04,3454.03
2019-02-05,3464.0
2019-02-06,3469.89
2019-02-07,3405.84
2019-02-08,3394.01
2019-02-09,3664.28
2019-02-10,3667.41
2019-02-11,3675.69
2019-02-12,3631.44
2019-02-13,3633.97
2019-02-14,3610.06
2019-02-15,3589.66
2019-02-16,3601.23
2019-02-17,3622.59
2019-02-18,3665.08
2019-02-19,3886.52
2019-02-20,3915.01
2019-02-21,3976.81
2019-02-22,3934.81
2019-02-23,3973.64
2019-02-24,4115.34
2019-02-25,3742.87
2019-02-26,3824.68
2019-02-27,3809.21
2019-02-28,3813.38
2019-03-01,3815.61
2019-03-02,3815.75
2019-03-03,3819.65
2019-03-04,3806.95
2019-03-05,3712.81
2019-03-06,3852.46
2019-03-07,3860.51
2019-03-08,3871.64
2019-03-09,3861.88
2019-03-10,3941.6
2019-03-11,3923.56
2019-03-12,3860.36
2019-03-13,3876.48
2019-03-14,3865.82
2019-03-15,3876.7
2019-03-16,3925.46
2019-03-17,4007.71
2019-03-18,3980.99
2019-03-19,3986.71
2019-03-20,4013.58
2019-03-21,4045.57
2019-03-22,3983.32
2019-03-23,3989.16
2019-03-24,4008.95
2019-03-25,3993.39
2019-03-26,3927.58
2019-03-27,3938.66
2019-03-28,4036.16
2019-03-29,4028.39
2019-03-30,4103.32
