date,price
2022-08-22,21615.76
2022-08-23,21387.75
2022-08-24,21562.45
2022-08-25,21395.46
2022-08-26,21618.01
2022-08-27,20271.32
2022-08-28,20069.95
2022-08-29,19659.25
2022-08-30,20308.86
2022-08-31,19805.35
2022-09-01,20023.55
2022-09-02,20153.98
2022-09-03,19941.45
2022-09-04,19814.56
2022-09-05,19980.01
2022-09-06,19785.73
2022-09-07,18859.5
2022-09-08,19280.63
2022-09-09,19322.78
2022-09-10,21359.58
2022-09-11,21707.39
2022-09-12,21739.8
2022-09-13,22339.67
2022-09-14,20184.97
2022-09-15,20255.92
2022-09-16,19702.17
2022-09-17,19764.41
2022-09-18,20131.68
2022-09-19,19437.16
2022-09-20,19570.39
2022-09-21,18869.93
2022-09-22,18539.64
2022-09-23,19464.32
2022-09-24,19291.9
2022-09-25,18939.97
2022-09-26,18809.41
2022-09-27,19219.73
2022-09-28,19116.33
2022-09-29,19444.79
2022-09-30,19563.77
2022-10-01,19476.93
2022-10-02,19314.46
2022-10-03,19065.15
2022-10-04,19620.57
2022-10-05,20345.4
2022-10-06,20161.83
2022-10-07,19949.05
2022-10-08,19457.31
2022-10-09,19418.04
2022-10-10,19448.15
2022-10-11,19142.69
2022-10-12,19058.63
2022-10-13,19153.04
2022-10-14,19383.94
2022-10-15,19198.11
2022-10-16,19072.78
2022-10-17,19272.92
2022-10-18,19557.9
2022-10-19,19348.03
2022-10-20,19134.24
2022-10-21,19031.16
2022-10-22,19173.28
2022-10-23,19203.87
2022-10-24,19574.82
2022-10-25,19316.94
2022-10-26,20095.15
2022-10-27,20774.25
2022-10-28,20278.37
2022-10-29,20591.24
2022-10-30,20800.71
2022-10-31,20623.87
2022-11-01,20494.6
2022-11-02,20489.65
2022-11-03,20162.98
2022-11-04,20210.91
2022-11-05,21150.32
2022-11-06,21282.99
2022-11-07,20907.0
2022-11-08,20597.76
2022-11-09,18562.35
2022-11-10,15742.44
2022-11-11,17594.92
2022-11-12,17080.22
2022-11-13,16797.99
2022-11-14,16344.34
2022-11-15,16645.83
2022-11-16,16890.53
2022-11-17,16689.4
2022-11-18,16718.36
2022-11-19,16707.02
2022-11-20,16712.73
2022-11-21,16304.08
2022-11-22,15814.34
2022-11-23,16171.63
2022-11-24,16608.01
2022-11-25,16596.04
2022-11-26,16524.45
2022-11-27,16456.16
2022-11-28,16459.15
2022-11-29,16222.21
2022-11-30,16441.98
2022-12-01,17186.5
2022-12-02,16972.73
2022-12-03,17084.87
2022-12-04,16923.38
2022-12-05,17149.93
2022-12-06,16973.37
2022-12-07,17085.64
2022-12-08,16851.3
2022-12-09,17235.01
2022-12-10,17149.82
2022-12-11,17125.36
2022-12-12,17101.04
2022-12-13,17179.6
2022-12-14,17784.16
2022-12-15,17808.72
2022-12-16,17338.36
2022-12-17,16623.76
2022-12-18,16806.49
2022-12-19,16742.82
2022-12-20,16422.56
2022-12-21,16899.33
2022-12-22,16816.85
2022-12-23,16824.79
2022-12-24,16791.46
2022-12-25,16848.57
2022-12-26,16842.18
2022-12-27,16900.08
2022-12-28,16701.84
2022-12-29,16538.91
2022-12-30,16644.38
2022-12-31,16604.02
