date,price
2019-10-18,177.48
2019-10-19,172.89
2019-10-20,171.85
2019-10-21,175.21
2019-10-22,174.35
2019-10-23,171.43
2019-10-24,161.58
2019-10-25,160.68
2019-10-26,181.45
2019-10-27,179.54
2019-10-28,183.58
2019-10-29,181.86
2019-10-30,190.51
2019-10-31,183.13
2019-11-01,182.76
2019-11-02,183.06
2019-11-03,183.22
2019-11-04,181.82
2019-11-05,185.76
2019-11-06,189.17
2019-11-07,191.3
2019-11-08,186.82
2019-11-09,183.67
2019-11-10,184.96
2019-11-11,189.04
2019-11-12,184.84
2019-11-13,186.87
2019-11-14,187.84
2019-11-15,184.79
2019-11-16,180.17
2019-11-17,182.63
2019-11-18,183.99
2019-11-19,178.39
2019-11-20,175.82
2019-11-21,174.8
2019-11-22,161.15
2019-11-23,149.93
2019-11-24,151.97
2019-11-25,140.25
2019-11-26,146.35
2019-11-27,147.58
2019-11-28,152.62
2019-11-29,150.91
2019-11-30,154.26
2019-12-01,151.74
2019-12-02,151.02
2019-12-03,148.87
2019-12-04,147.13
2019-12-05,145.4
2019-12-06,147.8
2019-12-07,148.61
2019-12-08,147.15
2019-12-09,150.29
2019-12-10,147.43
2019-12-11,145.57
2019-12-12,143.12
2019-12-13,145.03
2019-12-14,144.62
2019-12-15,141.84
2019-12-16,142.21
2019-12-17,132.72
2019-12-18,121.77
2019-12-19,132.74
2019-12-20,128.08
2019-12-21,128.27
2019-12-22,126.93
2019-12-23,132.18
2019-12-24,128.17
2019-12-25,127.73
2019-12-26,125.02
2019-12-27,125.61
2019-12-28,126.33
2019-12-29,128.07
2019-12-30,134.32
2019-12-31,131.46
2020-01-01,129.19
2020-01-02,130.48
2020-01-03,127.05
2020-01-04,133.7
2020-01-05,134.14
2020-01-06,135.01
2020-01-07,143.81
2020-01-08,143.02
2020-01-09,140.27
2020-01-10,137.86
2020-01-11,144.6
2020-01-12,142.18
2020-01-13,145.42
2020-01-14,143.59
2020-01-15,165.99
2020-01-16,166.25
2020-01-17,163.81
2020-01-18,171.16
2020-01-19,174.24
2020-01-20,166.63
2020-01-21,166.94
2020-01-22,169.28
2020-01-23,167.83
2020-01-24,162.52
2020-01-25,162.41
2020-01-26,160.67
2020-01-27,167.65
2020-01-28,169.74
2020-01-29,175.19
2020-01-30,173.71
2020-01-31,184.73
2020-02-01,179.23
2020-02-02,183.34
2020-02-03,188.55
2020-02-04,189.86
2020-02-05,188.84
2020-02-06,203.86
2020-02-07,212.73
2020-02-08,223.28
2020-02-09,223.3
2020-02-10,228.29
2020-02-11,224.15
2020-02-12,236.79
2020-02-13,264.03
2020-02-14,267.67
2020-02-15,284.23
2020-02-16,263.9
2020-02-17,262.16
2020-02-18,267.94
2020-02-19,281.95
2020-02-20,259.18
2020-02-21,257.99
2020-02-22,265.16
2020-02-23,261.0
2020-02-24,274.63
2020-02-25,265.24
2020-02-26,248.32
2020-02-27,224.81
2020-02-28,225.43
2020-02-29,227.71
2020-03-01,218.35
2020-03-02,218.94
2020-03-03,231.68
2020-03-04,223.96
2020-03-05,224.13
2020-03-06,228.08
2020-03-07,244.24
2020-03-08,237.38
2020-03-09,198.82
2020-03-10,200.85
2020-03-11,200.75
2020-03-12,194.22
2020-03-13,110.6
2020-03-14,132.57
2020-03-15,123.03
2020-03-16,124.6
2020-03-17,110.99
2020-03-18,117.22
2020-03-19,117.7
2020-03-20,136.81
2020-03-21,131.96
2020-03-22,131.94
2020-03-23,122.52
2020-03-24,135.59
2020-03-25,138.78
2020-03-26,136.23
2020-03-27,138.77
2020-03-28,130.29
2020-03-29,131.42
2020-03-30,125.32
2020-03-31,132.36
2020-04-01,133.24
2020-04-02,136.22
2020-04-03,141.45
2020-04-04,141.26
2020-04-05,144.2
2020-04-06,142.85
2020-04-07,169.86
2020-04-08,164.52
2020-04-09,172.8
2020-04-10,170.1
2020-04-11,157.74
2020-04-12,158.33
2020-04-13,158.86
2020-04-14,156.7
2020-04-15,158.27
2020-04-16,153.22
2020-04-17,171.78
2020-04-18,170.45
2020-04-19,187.14
2020-04-20,180.06
2020-04-21,170.7
2020-04-22,170.45
2020-04-23,182.28
2020-04-24,184.59
2020-04-25,187.34
2020-04-26,194.11
2020-04-27,197.23
2020-04-28,196.46
2020-04-29,197.15
2020-04-30,215.55
2020-05-01,205.56
2020-05-02,211.97
2020-05-03,213.94
2020-05-04,210.02
2020-05-05,206.83
2020-05-06,205.23
2020-05-07,200.25
2020-05-08,212.29
2020-05-09,211.69
2020-05-10,210.43
2020-05-11,188.14
2020-05-12,185.67
2020-05-13,189.31
2020-05-14,199.37
2020-05-15,203.21
2020-05-16,194.27
2020-05-17,200.58
2020-05-18,206.77
2020-05-19,214.36
2020-05-20,213.69
2020-05-21,209.92
2020-05-22,198.92
2020-05-23,206.23
2020-05-24,206.41
2020-05-25,200.69
2020-05-26,203.81
2020-05-27,200.96
2020-05-28,207.85
2020-05-29,219.59
2020-05-30,220.49
2020-05-31,242.71
2020-06-01,232.33
2020-06-02,248.04
2020-06-03,237.27
2020-06-04,244.13
2020-06-05,243.71
2020-06-06,240.25
2020-06-07,242.02
2020-06-08,244.23
2020-06-09,246.21
2020-06-10,243.85
2020-06-11,247.54
2020-06-12,232.0
2020-06-13,237.59
2020-06-14,238.29
2020-06-15,232.11
2020-06-16,231.02
2020-06-17,235.29
2020-06-18,233.86
2020-06-19,231.68
2020-06-20,228.96
2020-06-21,228.87
2020-06-22,227.79
2020-06-23,243.36
2020-06-24,243.08
2020-06-25,234.56
2020-06-26,232.65
2020-06-27,229.64
2020-06-28,221.03
2020-06-29,225.12
2020-06-30,228.21
2020-07-01,225.59
2020-07-02,230.66
2020-07-03,226.57
2020-07-04,225.18
2020-07-05,229.09
2020-07-06,227.9
2020-07-07,241.53
2020-07-08,238.96
2020-07-09,246.86
2020-07-10,241.98
2020-07-11,240.95
2020-07-12,239.1
2020-07-13,241.77
2020-07-14,239.64
2020-07-15,240.25
2020-07-16,238.66
2020-07-17,233.84
2020-07-18,232.78
2020-07-19,235.68
2020-07-20,238.9
2020-07-21,236.06
2020-07-22,245.23
2020-07-23,263.76
2020-07-24,274.72
2020-07-25,279.43
2020-07-26,305.04
2020-07-27,310.52
2020-07-28,320.48
2020-07-29,316.41
2020-07-30,317.54
2020-07-31,334.74
2020-08-01,346.0
2020-08-02,387.94
2020-08-03,370.73
2020-08-04,386.25
2020-08-05,389.38
2020-08-06,400.18
2020-08-07,394.54
2020-08-08,379.14
2020-08-09,391.48
2020-08-10,389.62
2020-08-11,395.21
2020-08-12,379.17
2020-08-13,387.5
2020-08-14,427.49
2020-08-15,438.76
2020-08-16,432.65
2020-08-17,433.43
2020-08-18,430.03
2020-08-19,422.11
2020-08-20,406.57
2020-08-21,416.47
2020-08-22,386.82
2020-08-23,395.89
2020-08-24,390.79
2020-08-25,408.27
2020-08-26,383.66
2020-08-27,385.75
2020-08-28,381.84
2020-08-29,395.14
2020-08-30,399.37
2020-08-31,428.3
2020-09-01,435.69
2020-09-02,475.68
2020-09-03,439.35
2020-09-04,383.69
2020-09-05,387.9
2020-09-06,334.47
2020-09-07,352.99
2020-09-08,351.88
2020-09-09,337.85
2020-09-10,351.23
2020-09-11,367.64
2020-09-12,373.91
2020-09-13,387.72
2020-09-14,365.7
2020-09-15,376.39
2020-09-16,364.69
2020-09-17,365.13
2020-09-18,388.8
2020-09-19,383.17
2020-09-20,385.47
2020-09-21,370.97
2020-09-22,341.28
2020-09-23,343.92
2020-09-24,321.08
2020-09-25,348.82
2020-09-26,351.33
2020-09-27,354.26
2020-09-28,357.07
2020-09-29,354.43
2020-09-30,359.43
2020-10-01,359.6
2020-10-02,353.2
2020-10-03,345.91
2020-10-04,345.99
2020-10-05,352.46
2020-10-06,353.6
2020-10-07,340.62
2020-10-08,341.44
2020-10-09,350.06
2020-10-10,365.34
2020-10-11,370.47
2020-10-12,374.5
2020-10-13,387.26
2020-10-14,381.17
2020-10-15,379.21
2020-10-16,377.16
2020-10-17,365.99
2020-10-18,368.65
2020-10-19,378.05
2020-10-20,379.64
2020-10-21,368.23
2020-10-22,391.17
2020-10-23,413.2
2020-10-24,408.89
2020-10-25,411.96
2020-10-26,406.16
2020-10-27,393.38
2020-10-28,403.53
2020-10-29,388.88
2020-10-30,386.45
2020-10-31,382.9
2020-11-01,385.84
2020-11-02,394.94
2020-11-03,383.85
2020-11-04,387.62
2020-11-05,401.73
2020-11-06,415.93
2020-11-07,454.65
2020-11-08,435.42
2020-11-09,455.36
2020-11-10,445.05
2020-11-11,449.82
2020-11-12,463.18
2020-11-13,462.21
2020-11-14,475.97
2020-11-15,462.72
2020-11-16,449.21
2020-11-17,461.37
2020-11-18,482.2
2020-11-19,479.44
2020-11-20,471.32
2020-11-21,508.79
2020-11-22,548.84
2020-11-23,560.51
2020-11-24,608.27
2020-11-25,602.67
2020-11-26,568.28
2020-11-27,518.47
2020-11-28,517.55
2020-11-29,537.39
2020-11-30,574.75
2020-12-01,612.26
2020-12-02,589.58
2020-12-03,598.76
2020-12-04,616.51
2020-12-05,571.19
2020-12-06,595.92
2020-12-07,601.97
2020-12-08,592.39
2020-12-09,554.33
2020-12-10,573.9
2020-12-11,560.45
2020-12-12,545.98
2020-12-13,568.36
2020-12-14,590.32
2020-12-15,585.54
2020-12-16,589.07
2020-12-17,635.96
2020-12-18,644.07
2020-12-19,654.42
2020-12-20,659.32
2020-12-21,639.52
2020-12-22,610.43
2020-12-23,634.98
2020-12-24,587.96
2020-12-25,612.88
2020-12-26,626.46
2020-12-27,636.74
2020-12-28,689.66
2020-12-29,732.96
2020-12-30,735.59
2020-12-31,752.86
2021-01-01,738.62
2021-01-02,730.15
2021-01-03,777.7
2021-01-04,967.0
2021-01-05,1025.65
2021-01-06,1103.36
2021-01-07,1208.58
2021-01-08,1229.47
2021-01-09,1223.73
2021-01-10,1282.98
2021-01-11,1267.73
2021-01-12,1092.91
2021-01-13,1045.41
2021-01-14,1132.02
2021-01-15,1216.91
2021-01-16,1171.86
2021-01-17,1234.63
2021-01-18,1229.38
2021-01-19,1255.98
2021-01-20,1383.48
2021-01-21,1385.85
2021-01-22,1122.91
2021-01-23,1236.68
2021-01-24,1231.18
2021-01-25,1392.54
2021-01-26,1323.43
2021-01-27,1355.23
2021-01-28,1253.14
2021-01-29,1328.77
2021-01-30,1380.28
2021-01-31,1372.43
2021-02-01,1317.05
2021-02-02,1368.66
2021-02-03,1514.23
2021-02-04,1661.0
2021-02-05,1587.8
2021-02-06,1724.86
2021-02-07,1683.94
2021-02-08,1608.64
2021-02-09,1751.0
2021-02-10,1769.05
2021-02-11,1739.16
2021-02-12,1782.51
2021-02-13,1841.2
2021-02-14,1810.84
2021-02-15,1804.98
2021-02-16,1775.76
2021-02-17,1782.58
2021-02-18,1845.57
2021-02-19,1938.57
2021-02-20,1969.98
2021-02-21,1929.37
2021-02-22,1941.43
2021-02-23,1788.62
2021-02-24,1563.92
2021-02-25,1628.39
2021-02-26,1468.86
2021-02-27,1450.99
2021-02-28,1480.13
2021-03-01,1416.66
2021-03-02,1570.4
2021-03-03,1497.09
2021-03-04,1579.43
2021-03-05,1546.5
2021-03-06,1539.05
2021-03-07,1661.93
2021-03-08,1727.46
2021-03-09,1837.53
2021-03-10,1869.33
2021-03-11,1802.31
2021-03-12,1826.06
2021-03-13,1770.94
2021-03-14,1927.72
2021-03-15,1866.07
2021-03-16,1791.05
2021-03-17,1808.55
2021-03-18,1828.75
2021-03-19,1780.16
2021-03-20,1817.13
2021-03-21,1817.86
2021-03-22,1790.38
2021-03-23,1686.89
2021-03-24,1673.86
2021-03-25,1581.63
2021-03-26,1587.3
2021-03-27,1700.37
2021-03-28,1713.84
2021-03-29,1689.04
2021-03-30,1817.63
2021-03-31,1840.29
2021-04-01,1915.83
2021-04-02,1970.47
2021-04-03,2134.1
2021-04-04,2016.67
2021-04-05,2077.76
2021-04-06,2097.8
2021-04-07,2115.06
2021-04-08,1989.15
2021-04-09,2081.35
2021-04-10,2069.67
2021-04-11,2142.8
2021-04-12,2150.27
2021-04-13,2142.48
2021-04-14,2304.34
2021-04-15,2429.66
2021-04-16,2514.17
2021-04-17,2424.55
2021-04-18,2345.27
2021-04-19,2245.76
2021-04-20,2168.03
2021-04-21,2324.28
2021-04-22,2373.5
2021-04-23,2426.07
2021-04-24,2364.23
2021-04-25,2212.84
2021-04-26,2307.36
2021-04-27,2532.39
2021-04-28,2647.16
2021-04-29,2748.78
2021-04-30,2757.5
2021-05-01,2776.7
2021-05-02,2944.92
2021-05-03,2953.3
2021-05-04,3439.86
2021-05-05,3245.66
2021-05-06,3524.56
2021-05-07,3495.08
2021-05-08,3493.53
2021-05-09,3912.74
2021-05-10,3932.75
2021-05-11,3979.61
2021-05-12,4182.79
2021-05-13,3906.11
2021-05-14,3750.34
2021-05-15,4088.73
2021-05-16,3659.92
2021-05-17,3602.0
2021-05-18,3288.23
2021-05-19,3399.05
2021-05-20,2505.01
2021-05-21,2778.28
2021-05-22,2419.1
2021-05-23,2306.37
2021-05-24,2120.04
2021-05-25,2640.16
2021-05-26,2695.48
2021-05-27,2882.48
2021-05-28,2742.99
2021-05-29,2433.33
2021-05-30,2294.63
2021-05-31,2395.85
2021-06-01,2708.43
2021-06-02,2632.66
2021-06-03,2717.15
2021-06-04,2858.28
2021-06-05,2694.5
2021-06-06,2624.77
2021-06-07,2711.55
2021-06-08,2580.54
2021-06-09,2528.02
2021-06-10,2620.63
2021-06-11,2486.6
2021-06-12,2356.63
2021-06-13,2379.99
2021-06-14,2517.77
2021-06-15,2587.38
2021-06-16,2561.19
2021-06-17,2365.87
2021-06-18,2380.74
2021-06-19,2231.55
2021-06-20,2176.31
2021-06-21,2251.56
2021-06-22,1900.12
2021-06-23,1875.36
2021-06-24,1971.11
2021-06-25,1990.08
2021-06-26,1833.46
2021-06-27,1817.05
2021-06-28,1973.93
2021-06-29,2087.52
2021-06-30,2169.4
2021-07-01,2279.35
2021-07-02,2121.66
2021-07-03,2157.88
2021-07-04,2228.53
2021-07-05,2329.0
2021-07-06,2217.3
2021-07-07,2320.65
2021-07-08,2317.24
2021-07-09,2126.44
2021-07-10,2156.58
2021-07-11,2123.06
2021-07-12,2144.01
2021-07-13,2042.5
2021-07-14,1944.4
2021-07-15,1997.66
2021-07-16,1910.73
2021-07-17,1874.2
2021-07-18,1899.84
2021-07-19,1905.72
2021-07-20,1824.93
2021-07-21,1794.97
2021-07-22,2003.72
2021-07-23,2027.53
2021-07-24,2117.15
2021-07-25,2183.63
2021-07-26,2209.5
2021-07-27,2230.21
2021-07-28,2292.58
2021-07-29,2299.69
2021-07-30,2383.44
2021-07-31,2462.4
2021-08-01,2541.67
2021-08-02,2555.41
2021-08-03,2611.67
2021-08-04,2521.27
2021-08-05,2724.53
2021-08-06,2821.65
2021-08-07,2888.73
2021-08-08,3151.22
2021-08-09,3012.31
2021-08-10,3163.06
2021-08-11,3147.84
2021-08-12,3166.65
2021-08-13,3048.41
2021-08-14,3323.2
2021-08-15,3268.55
2021-08-16,3309.75
2021-08-17,3153.58
2021-08-18,3007.14
2021-08-19,3037.23
2021-08-20,3144.82
2021-08-21,3276.97
2021-08-22,3224.0
2021-08-23,3243.49
2021-08-24,3320.41
2021-08-25,3177.66
2021-08-26,3231.44
2021-08-27,3122.97
2021-08-28,3267.54
2021-08-29,3245.43
2021-08-30,3233.38
2021-08-31,3232.73
2021-09-01,3440.56
2021-09-02,3790.61
2021-09-03,3793.3
2021-09-04,3936.16
2021-09-05,3894.94
2021-09-06,3950.27
2021-09-07,3943.26
2021-09-08,3440.34
2021-09-09,3496.86
2021-09-10,3435.98
2021-09-11,3209.92
2021-09-12,3268.1
2021-09-13,3417.84
2021-09-14,3301.19
2021-09-15,3425.25
2021-09-16,3595.96
2021-09-17,3573.31
2021-09-18,3412.18
2021-09-19,3427.58
2021-09-20,3335.88
2021-09-21,2977.32
2021-09-22,2744.11
2021-09-23,3074.12
2021-09-24,3159.27
2021-09-25,2930.74
2021-09-26,2946.97
2021-09-27,3063.32
2021-09-28,2939.74
2021-09-29,2798.98
2021-09-30,2855.61
2021-10-01,3013.49
2021-10-02,3305.11
2021-10-03,3393.92
2021-10-04,3426.39
2021-10-05,3390.31
2021-10-06,3520.34
2021-10-07,3592.18
2021-10-08,3594.92
2021-10-09,3558.55
2021-10-10,3588.08
2021-10-11,3431.02
2021-10-12,3537.84
2021-10-13,3498.11
2021-10-14,3605.65
2021-10-15,3794.52
2021-10-16,3885.64
2021-10-17,3854.5
2021-10-18,3854.22
2021-10-19,3752.62
2021-10-20,3884.59
2021-10-21,4170.11
2021-10-22,4074.86
2021-10-23,3990.71
2021-10-24,4179.44
2021-10-25,4094.94
2021-10-26,4230.21
2021-10-27,4152.57
2021-10-28,3944.09
2021-10-29,4288.1
2021-10-30,4422.94
2021-10-31,4324.61
2021-11-01,4292.04
2021-11-02,4330.55
2021-11-03,4596.59
2021-11-04,4607.7
2021-11-05,4550.01
2021-11-06,4494.8
2021-11-07,4527.1
2021-11-08,4626.63
2021-11-09,4815.0
2021-11-10,4742.08
2021-11-11,4641.53
2021-11-12,4732.92
2021-11-13,4685.11
2021-11-14,4666.5
2021-11-15,4652.95
2021-11-16,4583.21
2021-11-17,4243.35
2021-11-18,4302.8
2021-11-19,3993.85
2021-11-20,4317.6
2021-11-21,4436.19
2021-11-22,4319.36
2021-11-23,4101.06
2021-11-24,4355.42
2021-11-25,4269.44
2021-11-26,4515.84
2021-11-27,4048.31
2021-11-28,4084.09
2021-11-29,4290.09
2021-11-30,4444.53
2021-12-01,4637.12
2021-12-02,4589.61
2021-12-03,4519.44
2021-12-04,4240.16
2021-12-05,4101.66
2021-12-06,4198.57
2021-12-07,4347.62
2021-12-08,4310.57
2021-12-09,4431.54
2021-12-10,4153.33
2021-12-11,3918.2
2021-12-12,4079.81
2021-12-13,4135.84
2021-12-14,3782.9
2021-12-15,3858.16
2021-12-16,4015.72
2021-12-17,3971.56
2021-12-18,3886.75
2021-12-19,3966.43
2021-12-20,3928.84
2021-12-21,3950.48
2021-12-22,4036.55
2021-12-23,3992.59
2021-12-24,4113.53
2021-12-25,4055.12
2021-12-26,4110.57
2021-12-27,4075.03
2021-12-28,4045.05
2021-12-29,3807.36
2021-12-30,3644.41
2021-12-31,3714.95
2022-01-01,3686.4
2022-01-02,3780.32
2022-01-03,3835.4
2022-01-04,3769.4
2022-01-05,3794.91
2022-01-06,3556.91
2022-01-07,3416.83
2022-01-08,3201.79
2022-01-09,3101.04
2022-01-10,3156.97
2022-01-11,3086.73
2022-01-12,3246.41
2022-01-13,3378.04
2022-01-14,3256.76
2022-01-15,3311.99
2022-01-16,3331.25
2022-01-17,3356.3
2022-01-18,3216.59
2022-01-19,3166.45
2022-01-20,3097.02
2022-01-21,3015.59
2022-01-22,2564.34
2022-01-23,2407.38
2022-01-24,2537.84
2022-01-25,2447.83
2022-01-26,2465.22
2022-01-27,2470.43
2022-01-28,2411.86
2022-01-29,2551.11
2022-01-30,2603.6
2022-01-31,2610.18
2022-02-01,2689.22
2022-02-02,2797.43
2022-02-03,2690.32
2022-02-04,2667.26
2022-02-05,2993.1
2022-02-06,3018.67
2022-02-07,3062.81
2022-02-08,3149.95
2022-02-09,3127.44
2022-02-10,3240.92
2022-02-11,3081.91
2022-02-12,2930.56
2022-02-13,2918.09
2022-02-14,2889.24
2022-02-15,2935.65
2022-02-16,3179.3
2022-02-17,3128.64
2022-02-18,2881.61
2022-02-19,2792.3
2022-02-20,2768.97
2022-02-21,2632.49
2022-02-22,2574.51
2022-02-23,2644.15
2022-02-24,2594.7
2022-02-25,2599.93
2022-02-26,2771.89
2022-02-27,2785.34
2022-02-28,2629.48
2022-03-01,2919.29
2022-03-02,2977.28
2022-03-03,2953.32
2022-03-04,2836.91
2022-03-05,2619.36
2022-03-06,2668.71
2022-03-07,2558.36
2022-03-08,2498.66
2022-03-09,2576.63
2022-03-10,2731.04
2022-03-11,2611.46
2022-03-12,2562.83
2022-03-13,2579.46
2022-03-14,2518.49
2022-03-15,2591.54
2022-03-16,2620.36
2022-03-17,2771.76
2022-03-18,2817.4
2022-03-19,2945.75
2022-03-20,2947.23
2022-03-21,2860.64
2022-03-22,2896.59
2022-03-23,2969.78
2022-03-24,3028.84
2022-03-25,3106.66
2022-03-26,3106.07
2022-03-27,3140.88
2022-03-28,3285.17
